District Name,District Code,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,Free Lunch #,Free Lunch %,Reduced Lunch #,Reduced Lunch %,High Needs #,High Needs #,Economically Disadvantaged #,Economically Disadvantaged %
Longmeadow,01590000,200,7.2,17,0.6,536,19,346,12.4,,,,,812,28.8,,
Lowell,01600000,5137,36.7,3682,26.3,2624,18.6,10495,75,,,,,11857,84.1,,
Lowell Community Charter Public (District),04560000,612,74.5,463,56.3,120,14.6,600,73,,,,,719,87.5,,
Lowell Middlesex Academy Charter (District),04580000,4,5.4,2,2.7,22,29.7,59,79.7,,,,,67,90.5,,
Ludlow,01610000,233,10.2,119,5.2,410,17.7,908,39.6,,,,,1151,49.7,,
Lunenburg,01620000,87,5.4,22,1.4,227,14.1,409,25.6,,,,,556,34.6,,
Lynn,01630000,10104,64.2,5716,36.3,2781,17.5,11995,76.3,,,,,13611,85.8,,
Lynnfield,01640000,186,8.6,58,2.7,387,17.7,233,10.8,,,,,601,27.5,,
Ma Academy for Math and Science,04680000,0,0,0,0,0,0,3,3.3,,,,,4,4.4,,
Malden,01650000,3491,57.2,1116,18.3,1074,17.4,3977,65.2,,,,,4725,76.5,,
Manchester Essex Regional,06980000,33,2.6,11,0.9,225,17.7,169,13.5,,,,,364,28.6,,
Mansfield,01670000,221,6.4,68,2,567,16.4,752,21.9,,,,,1164,33.6,,
Map Academy Charter School (District),35170000,0,0,0,0,121,54.3,145,65,,,,,178,79.8,,
Marblehead,01680000,217,8.3,122,4.7,600,22.7,361,13.9,,,,,891,33.6,,
Marblehead Community Charter Public (District),04640000,18,8,14,6.2,63,28,49,21.8,,,,,113,50.2,,
Marion,01690000,5,1.2,1,0.2,83,20.1,118,29.1,,,,,173,42,,
Marlborough,01700000,2510,54.1,1218,26.2,766,16.3,2672,57.5,,,,,3384,72.1,,
Marshfield,01710000,147,3.8,70,1.8,750,19.4,737,19.3,,,,,1282,33.2,,
Martha's Vineyard,07000000,190,26.9,62,8.8,145,20.2,309,43.8,,,,,423,58.8,,
Martha's Vineyard Charter (District),04660000,6,3.6,6,3.6,44,26.7,89,53.9,,,,,107,64.8,,
Martin Luther King Jr. Charter School of Excellence (District),04920000,112,32,88,25.1,49,14,308,88,,,,,326,93.1,,
Masconomet,07050000,18,1.1,4,0.2,321,19,172,10.5,,,,,450,26.6,,
Mashpee,01720000,158,10.8,70,4.8,226,15.3,656,45,,,,,773,52.4,,
Match Charter Public School (District),04690000,673,54.9,213,17.4,267,21.8,964,78.7,,,,,1071,87.4,,
Mattapoisett,01730000,2,0.5,1,0.2,72,16.3,113,25.9,,,,,156,35.4,,
Maynard,01740000,148,12.5,68,5.7,220,18.2,322,27.2,,,,,485,40.1,,
Medfield,01750000,91,3.6,32,1.3,331,13,223,8.8,,,,,523,20.5,,
Medford,01760000,1078,26.8,417,10.4,821,20.2,1628,40.5,,,,,2187,53.9,,
Medway,01770000,63,3,48,2.3,327,15.3,295,14,,,,,568,26.6,,
Melrose,01780000,532,14.2,201,5.4,633,16.7,603,16.1,,,,,1193,31.5,,
Mendon-Upton,07100000,122,5.7,55,2.6,366,16.9,303,14.2,,,,,633,29.2,,
Methuen,01810000,1830,28.4,858,13.3,1293,19.6,3454,53.6,,,,,4259,64.7,,
Middleborough,01820000,85,2.8,45,1.5,564,18.6,1249,41.5,,,,,1514,49.8,,
Middleton,01840000,38,5.4,21,3,118,16.6,86,12.1,,,,,201,28.3,,
Milford,01850000,1976,45.9,1131,26.2,747,17.1,2363,54.8,,,,,2876,65.9,,
Millbury,01860000,139,8.7,60,3.7,316,19.5,567,35.4,,,,,776,47.9,,
Millis,01870000,75,6.4,24,2,169,14.2,221,18.8,,,,,355,29.9,,
Milton,01890000,438,10.1,118,2.7,748,17,630,14.5,,,,,1288,29.3,,
Minuteman Regional Vocational Technical,08300000,28,4.3,2,0.3,267,40.8,150,22.9,,,,,355,54.2,,
Mohawk Trail,07170000,7,0.9,6,0.8,169,21.9,369,48.4,,,,,438,56.8,,
Monomoy Regional School District,07120000,171,9.7,75,4.3,312,17.6,702,39.8,,,,,862,48.6,,
Monson,01910000,19,2.3,5,0.6,186,21.8,353,42.1,,,,,450,52.8,,
Montachusett Regional Vocational Technical,08320000,77,5.4,9,0.6,216,15.3,522,36.9,,,,,671,47.5,,
Mount Greylock,07150000,22,1.9,17,1.5,160,13.8,303,26.3,,,,,397,34.3,,
Mystic Valley Regional Charter (District),04700000,759,47.9,34,2.1,169,10.7,511,32.2,,,,,658,41.5,,
Nahant,01960000,1,0.6,0,0,23,14,40,24.4,,,,,55,33.5,,
Nantucket,01970000,720,43.1,251,15,289,17.2,706,42.2,,,,,989,58.8,,
Narragansett,07200000,28,2,7,0.5,275,19.5,589,42.3,,,,,717,50.8,,
Nashoba,07250000,269,8.7,80,2.6,544,17.5,413,13.4,,,,,898,28.9,,
Nashoba Valley Regional Vocational Technical,08520000,22,3,3,0.4,238,32.3,237,32.2,,,,,401,54.5,,
Natick,01980000,609,11.5,182,3.4,886,16.5,714,13.5,,,,,1566,29.1,,
Nauset,06600000,79,5.8,22,1.6,276,20,456,33.4,,,,,612,44.3,,
Needham,01990000,611,11.1,177,3.2,1002,17.9,465,8.4,,,,,1532,27.4,,
Neighborhood House Charter (District),04440000,173,22.6,71,9.3,173,22.6,485,63.5,,,,,569,74.5,,
New Bedford,02010000,5278,42.2,3202,25.6,2796,22.2,10318,82.5,,,,,11181,88.7,,
New Heights Charter School of Brockton (District),35130000,153,20.6,109,14.7,69,9.3,478,64.2,,,,,552,74.2,,
New Salem-Wendell,07280000,0,0,0,0,29,22.3,58,44.6,,,,,68,52.3,,
Newburyport,02040000,138,6.4,51,2.4,452,20.7,286,13.3,,,,,664,30.4,,
Newton,02070000,3402,28.4,669,5.6,2173,18,1592,13.3,,,,,4078,33.7,,
Norfolk,02080000,49,4.8,22,2.1,182,17.6,75,7.3,,,,,258,25,,
Norfolk County Agricultural,09150000,2,0.3,2,0.3,142,24.1,140,23.8,,,,,250,42.5,,
North Adams,02090000,18,1.4,14,1.1,327,25.8,941,74.9,,,,,996,78.7,,
North Andover,02110000,524,11.7,105,2.3,868,19.1,1050,23.4,,,,,1675,36.9,,
North Attleborough,02120000,400,10.1,97,2.4,747,18.7,1000,25.2,,,,,1547,38.7,,
North Brookfield,02150000,8,1.8,5,1.1,106,23.1,239,52.6,,,,,292,63.8,,
North Middlesex,07350000,89,3,51,1.7,709,23.3,875,29.3,,,,,1353,44.5,,
North Reading,02170000,48,2.1,13,0.6,441,18.8,284,12.2,,,,,647,27.6,,
Northampton,02100000,268,10.2,146,5.6,586,22.2,822,31.4,,,,,1134,43,,
Northampton-Smith Vocational Agricultural,04060000,24,4.4,20,3.7,220,40.2,227,41.5,,,,,347,63.4,,
Northboro-Southboro,07300000,193,15.2,27,2.1,200,15.7,160,12.6,,,,,336,26.3,,
Northborough,02130000,325,21,80,5.2,330,21,307,19.8,,,,,601,38.3,,
Northbridge,02140000,97,4.9,44,2.2,382,19.1,797,40.4,,,,,999,50,,
Northeast Metropolitan Regional Vocational Technical,08530000,247,18.9,47,3.6,327,25,684,52.3,,,,,874,66.9,,
Northern Berkshire Regional Vocational Technical,08510000,0,0,0,0,77,14.7,232,44.4,,,,,268,51.2,,
Norton,02180000,69,2.9,51,2.1,522,21.7,649,27.3,,,,,983,40.9,,
Norwell,02190000,41,1.9,9,0.4,356,16.1,136,6.2,,,,,464,21,,
Norwood,02200000,926,26.9,439,12.7,781,22.3,1381,40.1,,,,,1945,55.6,,
Oak Bluffs,02210000,135,31.6,93,21.8,95,22.1,193,45.2,,,,,268,62.5,,
Old Colony Regional Vocational Technical,08550000,0,0,0,0,122,21.7,152,27,,,,,232,41.2,,
Old Rochester,07400000,19,1.7,2,0.2,160,14.7,235,21.6,,,,,336,30.9,,
Old Sturbridge Academy Charter Public School (District),35150000,17,5.3,12,3.8,63,19.7,140,43.8,,,,,178,55.6,,
Orange,02230000,9,1.7,8,1.5,141,26.1,401,74.8,,,,,431,79.7,,
